skill_type,skill
business,analysis
math,analytics
programming,big data
business,business
visualization,design
programming,hadoop
programming,java
programming,machine learning
math,math
programming,matlab
programming,modeling
programming,predictive analytics
visualization,presentation
programming,programming
programming,python
business,research
programming,sas
programming,r
programming,sql
math,statistics
communication,communication
communication,creative
communication,interpersonal
communication,leadership
communication,management
communication,team
