Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Analytics,general linear model,"New York,NY",25,"http://www.indeed.com/jobs?q=general linear model+Data Analytics&l=New York,NY&radius=25",8
Data Scientist,geographic covariates,"New York,NY",25,"http://www.indeed.com/jobs?q=geographic covariates+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,geographic covariates,"New York,NY",25,"http://www.indeed.com/jobs?q=geographic covariates+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,GIS,"New York,NY",25,"http://www.indeed.com/jobs?q=GIS+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,GIS,"New York,NY",25,"http://www.indeed.com/jobs?q=GIS+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,global Optimization,"New York,NY",25,"http://www.indeed.com/jobs?q=global Optimization+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,global Optimization,"New York,NY",25,"http://www.indeed.com/jobs?q=global Optimization+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Graphical Models,"New York,NY",25,"http://www.indeed.com/jobs?q=Graphical Models+Data Scientist&l=New York,NY&radius=25",6
Data Analytics,Graphical Models,"New York,NY",25,"http://www.indeed.com/jobs?q=Graphical Models+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Hadoop,"New York,NY",25,"http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Hadoop,"New York,NY",25,"http://www.indeed.com/jobs?q=Hadoop+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Hive,"New York,NY",25,"http://www.indeed.com/jobs?q=Hive+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Hive,"New York,NY",25,"http://www.indeed.com/jobs?q=Hive+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,HTML,"New York,NY",25,"http://www.indeed.com/jobs?q=HTML+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,HTML,"New York,NY",25,"http://www.indeed.com/jobs?q=HTML+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,integer Optimization,"New York,NY",25,"http://www.indeed.com/jobs?q=integer Optimization+Data Scientist&l=New York,NY&radius=25",2
Data Analytics,integer Optimization,"New York,NY",25,"http://www.indeed.com/jobs?q=integer Optimization+Data Analytics&l=New York,NY&radius=25",1
Data Scientist,JAVA,"New York,NY",25,"http://www.indeed.com/jobs?q=JAVA+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,JAVA,"New York,NY",25,"http://www.indeed.com/jobs?q=JAVA+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,JavaScript,"New York,NY",25,"http://www.indeed.com/jobs?q=JavaScript+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,JavaScript,"New York,NY",25,"http://www.indeed.com/jobs?q=JavaScript+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,JSON,"New York,NY",25,"http://www.indeed.com/jobs?q=JSON+Data Scientist&l=New York,NY&radius=25",10
Data Analytics,JSON,"New York,NY",25,"http://www.indeed.com/jobs?q=JSON+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,linear algebra,"New York,NY",25,"http://www.indeed.com/jobs?q=linear algebra+Data Scientist&l=New York,NY&radius=25",3
Data Analytics,linear algebra,"New York,NY",25,"http://www.indeed.com/jobs?q=linear algebra+Data Analytics&l=New York,NY&radius=25",6
Data Scientist,Machine Learning,"New York,NY",25,"http://www.indeed.com/jobs?q=Machine Learning+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Machine Learning,"New York,NY",25,"http://www.indeed.com/jobs?q=Machine Learning+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Map/Reduce,"New York,NY",25,"http://www.indeed.com/jobs?q=Map/Reduce+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Map/Reduce,"New York,NY",25,"http://www.indeed.com/jobs?q=Map/Reduce+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,mapping,"New York,NY",25,"http://www.indeed.com/jobs?q=mapping+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,mapping,"New York,NY",25,"http://www.indeed.com/jobs?q=mapping+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Math,"New York,NY",25,"http://www.indeed.com/jobs?q=Math+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Math,"New York,NY",25,"http://www.indeed.com/jobs?q=Math+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Matlab,"New York,NY",25,"http://www.indeed.com/jobs?q=Matlab+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Matlab,"New York,NY",25,"http://www.indeed.com/jobs?q=Matlab+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,MCMC,"New York,NY",25,"http://www.indeed.com/jobs?q=MCMC+Data Scientist&l=New York,NY&radius=25",0
